Province,District,Year,Poverty Rate (%),Employment in agriculture (% of total employment)
Balochistan,Sheerani,2008-01-01,73.0,45.65
Balochistan,Sheerani,2010-01-01,45.0,73.85
Balochistan,Sheerani,2012-01-01,41.0,34.11
Balochistan,Sheerani,2014-01-01,59.0,28.86
Balochistan,Sibi,2004-01-01,66.0,52.92
Balochistan,Sibi,2006-01-01,77.0,53.18
Balochistan,Sibi,2008-01-01,64.0,38.18
Balochistan,Sibi,2010-01-01,31.0,34.74
Balochistan,Sibi,2012-01-01,30.0,25.43
Balochistan,Sibi,2014-01-01,49.0,42.08
Balochistan,Sohbatpur,2004-01-01,49.0,70.09
Balochistan,Sohbatpur,2006-01-01,73.0,79.78
Balochistan,Sohbatpur,2008-01-01,80.0,69.36
Balochistan,Sohbatpur,2010-01-01,64.0,66.56
Balochistan,Sohbatpur,2012-01-01,62.0,65.93
Balochistan,Sohbatpur,2014-01-01,64.0,67.31
Balochistan,Washuk,2004-01-01,60.0,53.95
Balochistan,Washuk,2006-01-01,68.0,30.13
Balochistan,Washuk,2008-01-01,81.0,40.53
Balochistan,Washuk,2010-01-01,53.0,59.41
Balochistan,Washuk,2012-01-01,58.0,49.3
Balochistan,Washuk,2014-01-01,64.0,31.31
Balochistan,Zhob,2004-01-01,71.0,42.72
Balochistan,Zhob,2006-01-01,76.0,54.6
Balochistan,Zhob,2008-01-01,73.0,45.65
Balochistan,Zhob,2010-01-01,55.0,65.49
Balochistan,Zhob,2012-01-01,40.0,31.18
Balochistan,Zhob,2014-01-01,54.0,49.37
Balochistan,Ziarat,2004-01-01,67.0,56.44
Balochistan,Ziarat,2006-01-01,79.0,39.26
Balochistan,Ziarat,2008-01-01,54.0,28.15
Balochistan,Ziarat,2010-01-01,34.0,32.39
Balochistan,Ziarat,2012-01-01,32.0,52.53
Balochistan,Ziarat,2014-01-01,64.0,59.84
Federal Capital Territory,Islamabad,2004-01-01,21.0,0.51
Federal Capital Territory,Islamabad,2006-01-01,12.0,3.6
Federal Capital Territory,Islamabad,2008-01-01,9.0,7.94
Federal Capital Territory,Islamabad,2010-01-01,13.0,11.16
Federal Capital Territory,Islamabad,2014-01-01,8.0,10.33
Khyber Pakhtunkhwa,Abbottabad,2004-01-01,51.0,22.7
Khyber Pakhtunkhwa,Abbottabad,2006-01-01,47.0,36.41
Khyber Pakhtunkhwa,Abbottabad,2008-01-01,35.0,20.87
Khyber Pakhtunkhwa,Abbottabad,2010-01-01,28.0,24.44
Khyber Pakhtunkhwa,Abbottabad,2012-01-01,18.0,14.17
Khyber Pakhtunkhwa,Abbottabad,2014-01-01,12.0,21.63
Khyber Pakhtunkhwa,Bannu,2004-01-01,60.0,23.09
Khyber Pakhtunkhwa,Bannu,2006-01-01,59.0,21.32
Khyber Pakhtunkhwa,Bannu,2008-01-01,45.0,13.6
Khyber Pakhtunkhwa,Bannu,2010-01-01,43.0,20.48
Khyber Pakhtunkhwa,Bannu,2012-01-01,46.0,24.07
Khyber Pakhtunkhwa,Bannu,2014-01-01,28.0,15.56
Khyber Pakhtunkhwa,Batagram,2004-01-01,72.0,56.54
Khyber Pakhtunkhwa,Batagram,2006-01-01,71.0,22.03
Khyber Pakhtunkhwa,Batagram,2008-01-01,46.0,41.74
Khyber Pakhtunkhwa,Batagram,2010-01-01,40.0,54.32
Khyber Pakhtunkhwa,Batagram,2012-01-01,34.0,51.79
Khyber Pakhtunkhwa,Batagram,2014-01-01,32.0,66.21
Khyber Pakhtunkhwa,Buner,2004-01-01,75.0,57.28
Khyber Pakhtunkhwa,Buner,2006-01-01,74.0,48.24
Khyber Pakhtunkhwa,Buner,2008-01-01,52.0,42.61
Khyber Pakhtunkhwa,Buner,2010-01-01,56.0,48.75
Khyber Pakhtunkhwa,Buner,2012-01-01,46.0,33.3
Khyber Pakhtunkhwa,Buner,2014-01-01,42.0,34.13
Khyber Pakhtunkhwa,Charsadda,2004-01-01,64.0,35.99
Khyber Pakhtunkhwa,Charsadda,2006-01-01,62.0,31.98
Khyber Pakhtunkhwa,Charsadda,2008-01-01,47.0,36.05
Khyber Pakhtunkhwa,Charsadda,2010-01-01,47.0,25.09
Khyber Pakhtunkhwa,Charsadda,2012-01-01,35.0,22.4
Khyber Pakhtunkhwa,Charsadda,2014-01-01,28.0,28.69
Khyber Pakhtunkhwa,Chitral,2004-01-01,61.0,47.11
Khyber Pakhtunkhwa,Chitral,2006-01-01,56.0,48.32
Khyber Pakhtunkhwa,Chitral,2008-01-01,39.0,39.27
Khyber Pakhtunkhwa,Chitral,2010-01-01,32.0,53.47
Khyber Pakhtunkhwa,Chitral,2012-01-01,25.0,41.4
Khyber Pakhtunkhwa,Chitral,2014-01-01,15.0,32.92
Khyber Pakhtunkhwa,Dera Ismail Khan,2004-01-01,61.0,34.02
Khyber Pakhtunkhwa,Dera Ismail Khan,2006-01-01,59.0,38.18
Khyber Pakhtunkhwa,Dera Ismail Khan,2008-01-01,48.0,28.34
Khyber Pakhtunkhwa,Dera Ismail Khan,2010-01-01,47.0,38.75
Khyber Pakhtunkhwa,Dera Ismail Khan,2012-01-01,39.0,32.17
Khyber Pakhtunkhwa,Dera Ismail Khan,2014-01-01,33.0,30.09
Khyber Pakhtunkhwa,Hangu,2004-01-01,62.0,32.62
Khyber Pakhtunkhwa,Hangu,2006-01-01,65.0,23.21
Khyber Pakhtunkhwa,Hangu,2008-01-01,47.0,29.16
